"""c1""","""c2""","""r"""
"{""country"":""NOR""}","{""country"":""MDA""}","{""shared_nouns"":27}"
"{""country"":""SYC""}","{""country"":""PLW""}","{""shared_nouns"":26}"
"{""country"":""TCD""}","{""country"":""CAF""}","{""shared_nouns"":24}"
"{""country"":""ATG""}","{""country"":""PLW""}","{""shared_nouns"":24}"
"{""country"":""ATG""}","{""country"":""SYC""}","{""shared_nouns"":24}"
"{""country"":""TCD""}","{""country"":""NER""}","{""shared_nouns"":23}"
"{""country"":""MWI""}","{""country"":""MOZ""}","{""shared_nouns"":22}"
"{""country"":""CAF""}","{""country"":""NER""}","{""shared_nouns"":22}"
"{""country"":""KOR""}","{""country"":""PLW""}","{""shared_nouns"":21}"
"{""country"":""NOR""}","{""country"":""SMR""}","{""shared_nouns"":21}"
"{""country"":""PAK""}","{""country"":""ZMB""}","{""shared_nouns"":21}"
"{""country"":""SMR""}","{""country"":""PLW""}","{""shared_nouns"":21}"
"{""country"":""TGO""}","{""country"":""BLR""}","{""shared_nouns"":21}"
"{""country"":""STP""}","{""country"":""TGO""}","{""shared_nouns"":20}"
"{""country"":""LCA""}","{""country"":""ZMB""}","{""shared_nouns"":20}"
"{""country"":""VUT""}","{""country"":""MWI""}","{""shared_nouns"":20}"
"{""country"":""MOZ""}","{""country"":""ZMB""}","{""shared_nouns"":20}"
"{""country"":""TGO""}","{""country"":""ZMB""}","{""shared_nouns"":20}"
"{""country"":""KAZ""}","{""country"":""BLR""}","{""shared_nouns"":20}"
"{""country"":""LSO""}","{""country"":""ATG""}","{""shared_nouns"":20}"
