Trimmed alias,Correct name,Correct iso3
Democratic People's Republic of Korea,North Korea,PRK
Bolivia (Plurinational State of),Bolivia,BOL
"Venezuela, Bolivarian Republic of",Venezuela,VEN
Libyan Arab Jamahiriya,Libya,LBY
Congo (Democratic Republic of the),Democratic Republic of the Congo,COD
Lao PDR,Laos,LAO
"Korea, Dem. People\x92s Rep.",North Korea,PRK
Tanzania (United Republic of),United Republic of Tanzania,TZA
"Korea, Republic of",Republic of Korea,KOR
"Bolivia, Plurinational State of",Bolivia,BOL
"Korea, Dem. People\x92s Rep.",North Korea,PRK
"Macedonia, FYR",Macedonia,MKD
"Congo, the Democratic Republic of",Democratic Republic of the Congo,COD
GuineaBissau,Guinea Bissau,GNB
The former Yugoslav Republic of Macedonia,Macedonia,MKD
St. Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT
"Iran, Islamic Republic of",Iran,IRN
"Korea, Democratic People's Republ",North Korea,PRK
TimorLeste,Timor-Leste,TLS
"Moldova, Republic of",Moldova,MDA
"Micronesia, Fed. Sts.",Federated States of Micronesia,FSM
Moldova (Republic of),Moldova,MDA
Bosnia & Herzegovina,Bosnia and Herzegovina,BIH
Trinidad & Tobago,Trinidad and Tobago,TTO
"Tanzania, United Republic of",United Republic of Tanzania,TZA
"Micronesia, Federated States of",Federated States of Micronesia,FSM
