WRI_ID,index,SQL
foo.003,223b936e-06b8-4970-abd9-4f123904d95d,SELECT * FROM foo_003_fews2015_10
cit.003,f84b559f-1eb1-43f2-871f-93fea669bf93,SELECT * FROM pm2_5_pm10_no2_so2_o3_co_bc_openaq WHERE parameter ='pm25' ORDER BY value asc
cli.003,c8040a7a-a40f-48bd-b003-625c33beff5e,SELECT * FROM ssta
for.002,e8f5b4e8-454e-488d-8b4a-b60ad02bce36,"SELECT the_geom_webmercator, orig_fname, orig_oid, data_type,round(st_area_sh::numeric,2) as st_area_sh, round(st_length_::numeric,2) as st_length_, date FROM imazon_sad where date > (CURRENT_DATE - interval '90 day')"
for.005,8ab2606d-1b1c-4b71-ab29-c6e0a687e9fd,SELECT * FROM global_mangroves
cli.002,9e7dc020-5a93-4df8-b81e-ee3e7bf32764,SELECT * FROM air_temo_anomalies
,f2fe7588-6d1b-400e-b79c-0c86bf1273ea,"with a as (SELECT the_geom, country, year, values as value FROM urban_population_with_access_to_an_improved_water_source group by country, the_geom, year, values )select countries.the_geom,countries.the_geom_webmercator, a.country, avg(a.value) from countries, a where countries.admin=a.country group by a.country, countries.the_geom, countries.the_geom_webmercator"
cli.021,ea67f436-473c-4977-bdf2-8aa0dabbaa6f,SELECT * FROM snow_cover
foo.024,c48f0582-164f-4faa-97a2-7ad2e3111d3d,SELECT * FROM modis_1
soc.065,134caa0a-21f7-451d-a7fe-30db31a424aa,"SELECT the_geom, the_geom_webmercator, iso, cartodb_id FROM gadm28_countries"
bio.002,4458eb12-8572-45d1-bf07-d5a3ee097021,SELECT * FROM biodiversity_hotspots
bio.004,3624554e-b240-4edb-9110-1f010642c3f3,SELECT * FROM table_14_001_wcmc008_coralreef2010_v1_3
for.006,20cc5eca-8c63-4c41-8e8e-134dcf1e6d76,SELECT * FROM vnp14imgtdl_nrt_global_7d where (acq_date> (CURRENT_DATE - interval '7 day')) and frp>=100 ORDER BY frp asc
soc.063,d8a45b34-4cc0-42f4-957d-e13b37e9182e,select * from anthro2_a2000
,1ed6f37e-0a0c-47a6-830e-2b6d1496b045,SELECT * FROM potential_landslide_areas
dis.003,a119aac3-81c7-4f8f-adb6-cca5449e9b6d,"SELECT the_geom_webmercator, st_y(the_geom) AS lat, st_x(the_geom) AS lon, title, description, link, pubdate FROM table_9089288329"
bio.006,7d3465f8-5959-4531-aaf2-c9a8a03183b3,SELECT * FROM endemic_bird_areas
bio.005,ad790c87-fe9e-4405-891d-de7c2ddfda79,SELECT * FROM coralreefhotspots
,9e9a5c50-b825-4f12-838f-1650943c2be1,"SELECT the_geom, the_geom_webmercator, type FROM fao_aquastat_water_institutions"
bio.030,20aead6e-fef9-41c7-92c8-ea00edcae077,SELECT * FROM tiger_conservation_landscapes
,3f35ccf5-a104-4edf-b1ca-4e0bd423615b,SELECT * FROM mrds_trim
wat.025,7a213f00-5be7-4f11-a859-3b9058dae2e6,SELECT * FROM chirps_2
soc.014,3ac5a895-b8ab-4480-b7eb-0fbb452ea76f,select * from gfw_land_rights
soc.007,21ac3cd2-9c19-47c7-ad18-4bcad118870f,SELECT * FROM nrpi_chi_2015
wat.003,bbadb233-84ea-4ae1-893f-deba67f1d5de,SELECT * FROM global_grey_water_footprint_and_water_pollution_levels
soc.016,8d84f6c6-8e7d-410e-a408-cbfb2555b35d,"SELECT the_geom_webmercator, year, time_precision, event_type, event_date, actor1, actor2, country, location, source, notes, fatalities FROM read"
,42de3f98-ba1c-4572-a227-2e18d45239a5,"SELECT (select the_geom_webmercator from fiw2017 where iso = sfiv2015.scode ) as the_geom_webmercator, country, scode as iso3, sfi as total, row_number() over (order by sfi desc) as rank FROM sfiv2015 where year=2015 order by sfi desc"
,5be16fea-5b1a-4daf-a9e9-9dc1f6ea6d4e,"with r as (SELECT basinid, value, label FROM water_risk_indicators  where (indicator='water_stress' and period = 'year' and type = 'absolute' and year = 2014 )) SELECT r.basinid, value, label, the_geom_webmercator from r inner join wri_subcatchements on r.basinid=wri_subcatchements.basinid"
,59616fc8-6dcc-459b-b7fc-58f4ec9072e0,"select st_transform(the_geom_webmercator,32663) as the_geom_webmercator, value from fws where date in (SELECT date FROM fws order by date desc limit 1) and type = 'ML1'"
